) - n / + ( * $ E T F 
I0 0 0 S5 0 0 S4 0 0 1 2 3 
I1 0 S7 0 0 S6 0 0 ACC 0 0 0 
I2 0 R3 0 S9 R3 0 S8 R3 0 0 0 
I3 0 R6 0 R6 R6 0 R6 R6 0 0 0 
I4 0 0 S14 0 0 S13 0 0 10 11 12 
I5 0 R8 0 R8 R8 0 R8 R8 0 0 0 
I6 0 0 S5 0 0 S4 0 0 0 15 3 
I7 0 0 S5 0 0 S4 0 0 0 16 3 
I8 0 0 S5 0 0 S4 0 0 0 0 17 
I9 0 0 S5 0 0 S4 0 0 0 0 18 
I10 S19 S21 0 0 S20 0 0 0 0 0 0 
I11 R3 R3 0 S23 R3 0 S22 0 0 0 0 
I12 R6 R6 0 R6 R6 0 R6 0 0 0 0 
I13 0 0 S14 0 0 S13 0 0 24 11 12 
I14 R8 R8 0 R8 R8 0 R8 0 0 0 0 
I15 0 R1 0 S9 R1 0 S8 R1 0 0 0 
I16 0 R2 0 S9 R2 0 S8 R2 0 0 0 
I17 0 R4 0 R4 R4 0 R4 R4 0 0 0 
I18 0 R5 0 R5 R5 0 R5 R5 0 0 0 
I19 0 R7 0 R7 R7 0 R7 R7 0 0 0 
I20 0 0 S14 0 0 S13 0 0 0 25 12 
I21 0 0 S14 0 0 S13 0 0 0 26 12 
I22 0 0 S14 0 0 S13 0 0 0 0 27 
I23 0 0 S14 0 0 S13 0 0 0 0 28 
I24 S29 S21 0 0 S20 0 0 0 0 0 0 
I25 R1 R1 0 S23 R1 0 S22 0 0 0 0 
I26 R2 R2 0 S23 R2 0 S22 0 0 0 0 
I27 R4 R4 0 R4 R4 0 R4 0 0 0 0 
I28 R5 R5 0 R5 R5 0 R5 0 0 0 0 
I29 R7 R7 0 R7 R7 0 R7 0 0 0 0 
