# Building_A, Building_B, crowding ,can_bike
44 80 0.1 1
0 1 0.5 0
0 2 0.5 0
2 1 0.5 0
47 48 0.8 1
48 49 0.8 1
49 51 0.7 1
51 63 0.9 1
63 54 0.6 1
54 55 0.7 1
55 56 0.7 1
56 75 0.8 1
75 77 0.6 1
77 76 0.3 1
46 50 0.7 1
50 49 0.8 1
51 65 0.4 1
65 64 0.9 1
64 66 0.7 1
56 70 0.2 1
70 45 0.3 1
56 71 0.8 1
71 74 0.5 1
74 73 0.2 1
52 117 0.6 0
117 53 0.6 0
53 51 0.8 0
52 4 0.3 0
53 5 0.8 0
46 0 0.4 0
50 3 0.8 0
117 62 0.5 0
62 58 0.1 0
58 57 0.9 1
57 59 0.4 1
59 70 0.3 0
57 60 0.8 0
57 61 0.7 0
47 1 0.8 0
48 2 0.3 0
65 14 0.9 0
66 31 0.4 1
54 67 0.5 1
67 68 0.3 1
68 69 0.7 1
64 13 0.3 1
67 15 0.4 0
68 14 0.9 0
69 31 0.9 0
69 16 0.7 0
77 78 0.3 0
78 79 0.5 1
79 11 0.6 1
78 12 0.7 1
76 12 0.5 1
75 10 0.2 1
71 17 0.9 1
74 19 0.7 0
73 18 0.1 0
73 16 0.4 0
73 44 0.8 0
62 4 0.3 0
62 5 0.7 0
58 6 0.8 0
58 7 0.6 0
59 8 0.5 0
59 9 0.8 0
60 7 0.7 0
60 9 0.7 0
60 55 0.3 0
61 6 0.2 0
61 8 0.9 0
45 30 0.2 0
81 82 0.3 1
82 86 0.4 1
86 88 0.7 1
88 87 0.6 1
87 89 0.5 1
82 85 0.6 1
85 83 0.4 1
83 84 0.8 1
82 94 0.6 1
94 90 0.4 1
90 98 0.5 1
98 107 0.5 1
98 101 0.7 1
101 103 0.1 1
103 100 0.4 1
100 102 0.7 1
102 99 0.5 1
98 105 0.3 1
105 104 0.9 1
104 106 0.6 1
107 115 0.5 1
115 113 0.7 1
113 116 0.5 1
116 114 0.4 1
107 110 0.8 1
110 108 0.1 1
108 112 0.9 1
112 109 0.6 1
109 111 0.5 1
111 80 0.3 1
84 21 0.8 0
83 20 0.7 0
85 22 0.6 1
81 33 0.8 1
86 33 0.7 1
88 35 0.4 1
87 34 0.9 1
89 36 0.6 1
70 10 0.5 1
90 93 0.5 1
93 92 0.7 0
92 91 0.4 0
94 95 0.8 0
95 97 0.6 0
97 96 0.3 0
91 23 0.5 0
92 24 0.8 0
93 25 0.6 0
99 23 0.4 0
102 26 0.3 0
100 24 0.7 0
103 27 0.9 0
101 25 0.4 0
95 35 0.5 0
97 37 0.8 0
96 36 0.4 0
106 39 0.6 0
104 37 0.1 1
105 38 0.2 1
114 28 0.5 1
116 26 0.4 1
113 29 0.7 1
115 27 0.5 1
110 41 0.3 1
108 38 0.4 1
112 43 0.6 0
43 32 0.9 0
111 42 0.3 0
109 40 0.4 0
39 40 0.2 0
